Identifier,StructureData,,,,,
7A87,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM Bis-tris pH 6.5
20 % PEG 1500",2.54,51.67
7A88,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MMT
25 % PEG 1500",2.6,52.72
7A8C,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MES pH 6.5
25 % PEG 4000
400 mM D-galactose",2.72,54.72
7A8G,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM TMAO
100mM Tris pH 8.5
20 % Peg 2000 mme",2.85,56.77
7A8H,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM Bis-tris pH 6.5
20 % PEG 5000 mme",2.32,47.05
7A8K,"VAPOR DIFFUSION, SITTING DROP",293,,"50 mM HEPES pH 7.5
12 % PEG 4000
1% tryptone",2.48,50.33
7A8O,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM Maic acid pH 7.0
20 % PEG 3350",2.51,51.09
1MYW,"VAPOR DIFFUSION, HANGING DROP",298,8.4,"Tris, ammonium sulfate, PEG400, pH 8.4, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.65,53.67
1QYO,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, Magnesium Chloride, Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.15,42.81
1QYQ,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, Magnesium Chloride, Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.15,42.78
1RM9,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"22% PEG 10000, pH 7.4, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.06,40.38
2Z1O,"VAPOR DIFFUSION, SITTING DROP",291,7.5,"90% of 0.1M HEPES (pH = 7.5) solution with 20% PEG 10000, 8% ethylene glycol, 10% of 0.1 M Tris/HCl (pH = 8.5) solution, VAPOR DIFFUSION, SITTING DROP, temperature 291K",2.29,46.31
2Z6Y,"VAPOR DIFFUSION, SITTING DROP",291,7,"20% PEG 3000, 0.2M Ca(acetate)2, 0.1M Tris/HCl (pH 7.0), VAPOR DIFFUSION, SITTING DROP, temperature 291K",1.98,37.91
2Z6Z,Microbatch Method,293,8.3,"27-27.5 % PEG 4000, 1M LiCl2, 0.1M Tris/HCl (pH 8.3), Microbatch Method, temperature 293K",2.02,39.13
4LQT,VAPOR DIFFUSION,293,6.5,"40% (v/v) Isopropanol, 0.1 M Imidazole acid, 15% (w/v) PEG 8000, pH 6.5, vapor diffusion, temperature 293K",2.15,42.72
4LQU,VAPOR DIFFUSION,293,5.5,"25% (v/v) PEG 3350, 0.1 M bis-tris, pH 5.5, vapor diffusion, temperature 293K",2.07,40.59
6Y1G,"VAPOR DIFFUSION, HANGING DROP",292,,"0.1 M BICINE pH 8.5, 22% w/v Polyethylene glycol 10,000",2.25,45.32
1XQM,"VAPOR DIFFUSION, HANGING DROP",293,5.7,"PEG3350, Ammonium Acetate, pH 5.7, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.9,68.3
4B5Y,,,6.5,"35 MG/ML PROTEIN, 14% PEG8000, 100 MM MGCL2, 100 MM HEPES PH 6.50",3.2,62
4OHS,"VAPOR DIFFUSION, HANGING DROP",298,7,"100mM Tris, 50mM lithium sulfate, 20% w/v PEG 3350, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2,38.39
4W6B,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"14% PEG-4000, 0.2M MgCl2, 0.1M Tris pH 8.5",2.19,43.84
4W6D,"VAPOR DIFFUSION, HANGING DROP",298,6.75,"1.5M MgSO4, 0.5% Glycerol, 0.1M MES pH 6.75",6.18,80.08
4W6M,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"10% PEG3350, 0.1M NaAcetate pH 4.6, 0.2M NaCl",3.11,60.48
4W6R,"VAPOR DIFFUSION, HANGING DROP",298,,"20% PEG3350, 0.2M NaSCN",2.39,48.63
4W72,"VAPOR DIFFUSION, HANGING DROP",298,4.5,"20% PEG3000, 0.1M Acetate pH 4.5",2.31,46.69
4W74,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"17% PEG10000, 0.1M Ammpnium acetate, 0.1M Bis-Tris pH 5.5",2.53,51.37
4W75,"VAPOR DIFFUSION, HANGING DROP",298,,"30% PEG MME 2000, 0.15M KBr",2.93,58.08
4W76,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"3M NaCl, 0.1M Bis-Tris pH 5.5",2.49,50.53
4W77,"VAPOR DIFFUSION, HANGING DROP",298,6.5,"50% PEG200, 0.2M MgCl2, 0.1M NaCacodylate pH 6.5",2.47,50.23
4W7A,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"3M NaCl, 0.1M Bis-Tris pH 5.5",7.05,82.42
4W7C,"VAPOR DIFFUSION, HANGING DROP",298,,"30% PEG400, 0.1M Cacodylate pH 6.5, 0.2M Li2SO4",3.29,62.57
4W7F,"VAPOR DIFFUSION, HANGING DROP",298,9.5,"20% PEG8000, 0.1M CHES pH 9.5",1.88,34.68
4W7R,"VAPOR DIFFUSION, HANGING DROP",298,,"20% PEG3350, 0.2M Potassium formate",2.41,49
2G2S,,298,8,"50 mM MgCl2, 50 mM Hepes, 20% PEG 4000, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K, pH 8.00",2.03,39.54
2G3D,"VAPOR DIFFUSION, HANGING DROP",298,8,"50 mM MgCl2, 50 mM Hepes, 20% PEG 4000, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.09,41.12
2G5Z,"VAPOR DIFFUSION, HANGING DROP",298,8,"50 mM MgCl2, 50 mM Hepes, 20% PEG 4000, VAPOR DIFFUSION, HANGING DROP, temperature 298K, pH 8.0",2.14,42.55
2H5Q,"VAPOR DIFFUSION, HANGING DROP",298,8,"100 mM NaOAc, 100 mM Tris pH 8.5, 30% PEG 4000 , VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.94,44.28
3UFZ,"VAPOR DIFFUSION, SITTING DROP",293,8.5,"15% PEG 6000, 5% Glycerol, pH 8.5, vapor diffusion, sitting drop, temperature 293K",2.15,42.66
3UG0,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"17% PEG 20000, 100mM MES (pH6.5), vapor diffusion, sitting drop, temperature 293K",2.15,42.7
3V3D,"VAPOR DIFFUSION, HANGING DROP",289,7.5,"2M (NH4)2SO4, 0.1M Tris-HCl pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 289K",2.54,51.62
3W1C,"VAPOR DIFFUSION, SITTING DROP",277,6.5,"13-15% PEG 8000, 0.1M Bis-Tris buffer, 350-400mM calcium acetate , pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",2.08,40.94
3W1D,"VAPOR DIFFUSION, SITTING DROP",277,6.5,"13-17% PEG 8000, 0.1M Bis-Tris buffer, 200-400mM calcium acetate, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",2.08,40.89
4H3M,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"0.3 uL + 0.3 uL drops, precipitant: 200 mM magnesium chloride, 100 mM sodium cacodylate, pH 6.5, 50% (v/v) PEG200, VAPOR DIFFUSION, SITTING DROP, temperature 293K",1.77,30.44
4KEX,VAPOR DIFFUSION,291,4,"0.1 M MMT Buffer (Malic acid, MES and Tris), 25% (w/v) PEG 1500, pH 4.0, VAPOR DIFFUSION, temperature 291K",1.98,38.02
5DTY,"VAPOR DIFFUSION, HANGING DROP",293,8.1,"0.1 M HEPES, 1.7 M ammonium sulphate",2.02,39.06
5OXA,"VAPOR DIFFUSION, HANGING DROP",293,7,"100mM HEPES buffer pH 7.0, 12% PEG8000, 100mM MgCl2",2.2,44.14
5OXB,"VAPOR DIFFUSION, HANGING DROP",293,7,"100mM HEPES pH 7.0, 12% PEG8000, 100mM MgCl2",2.2,44.21
5OXC,"VAPOR DIFFUSION, HANGING DROP",293,,"100mM HEPES 7.0, 12% PEG8000, 100mM MgCl2",2.19,43.92
6B7T,"VAPOR DIFFUSION, HANGING DROP",298,,"0.1M HEPES pH 7.0, 0.2M ammonium chloride, 22.5 v/v% PEG 6000",1.8,31.63
6MDR,,,,,,
6QQ9,"VAPOR DIFFUSION, HANGING DROP",293,7,"100mM HEPES 7.0, 12% PEG8000, 100mM MgCl2",2.13,42.3
6UN4,"VAPOR DIFFUSION, HANGING DROP",293,8.1,"80 mM HEPES, pH 8.1, 1.84 M ammonium sulfate",1.92,35.83
2PXS,"VAPOR DIFFUSION, HANGING DROP",293,7,"0.1 M bis-tris propane, 1.8 M tri-ammonium citrate, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.91,68.58
2PXW,"VAPOR DIFFUSION, HANGING DROP",277,6,"1.9 M Na Malonate, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 277K",3.94,68.75
3KCS,"VAPOR DIFFUSION, SITTING DROP",298,8.5,"30% PEG4000, 0.1 M Tris HCl, 0.2 M magnesium chloride, pH 8.5, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.68,54.06
4EUL,"VAPOR DIFFUSION, SITTING DROP",277,6.5,"0.1 M MES pH 6.5, 200 mM calcium acetate, 20% (w/v) PEG8000, 13% PEG200 for cryoprotection, VAPOR DIFFUSION, SITTING DROP, temperature 277K",2.05,40.14
6FLL,"VAPOR DIFFUSION, HANGING DROP",293,5,"PEG 3350, 0.1 M AMMONIUM ACETATE, 0.2 M NH4F, PH 5.0",2.45,49.82
6GQG,VAPOR DIFFUSION,277,8.5,"0.2 M CaCl2, 19% PEG 4000",2.03,39.31
6GQH,VAPOR DIFFUSION,277,8.5,"0.2 M CaCl2, 19% PEG 4000",2.02,39.16
6GRM,VAPOR DIFFUSION,277,6,MPD 45%,1.84,33.33
1EMB,,,3.8,"PROTEIN WAS CRYSTALLIZED FROM 50 MM KH2PO4 AND 20 % (W/V) PEG 8000, PH 3.8.",2.09,41
1F09,"VAPOR DIFFUSION, HANGING DROP",277,5.5,"PEG 1550, sodium acetate, magnesium chloride, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 277.0K",2.05,39.87
1F0B,"VAPOR DIFFUSION, HANGING DROP",277,5.5,"PEG 1550, sodium acetate, magnesium chloride, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 277.0K",1.98,38
1JC0,"VAPOR DIFFUSION, HANGING DROP",295,8.5,"PEG 4000, Lithium Sulfate, Tris, DTT, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.2,44.13
5DPH,"VAPOR DIFFUSION, SITTING DROP",298,8.5,"0.1 M Tris pH 8.5, 20% PEG 4000, 0.21 M MgCl2-6H2O",2.06,40.32
6FP8,"VAPOR DIFFUSION, SITTING DROP",277,7.4,"10% PEG4000, 20% Glycerol, and 0.02 M of L-glutamate, glycine, DL-alanine, L-lysin, DL-serin",2.86,57.04
6GO8,VAPOR DIFFUSION,277,6,45% MPD,2,38.36
6GO9,VAPOR DIFFUSION,277,6,45% MPD,1.99,38.27
1KYP,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, magnesium chloride, hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.93,42.33
1QXT,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, MAGNESIUM CHLORIDE, HEPES, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.17,43.36
1QY3,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, Magnesium Chloride, Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.23,44.86
2FL1,"VAPOR DIFFUSION, HANGING DROP",293,5.9,"1.5M ammonium sulphate, 0.2M K/Na Tartrate, 0.1M Na Citrate, pH 5.9, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.46,50.01
2VVJ,VAPOR DIFFUSION,293,8.4,"CRYSTALLIZATION CONDITIONS: AMMONIUM SULFATE, BICINE, PH 8.4, VAPOR DIFFUSION, TEMPERATURE 293K",2.81,56.24
3DQ1,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",1.9,35.23
3TMR,"VAPOR DIFFUSION, HANGING DROP",293,8.4,"Ammonium sulfate, bicine, pH 8.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.7,54.43
3TMT,"VAPOR DIFFUSION, HANGING DROP",293,8.4,"Ammonium sulfate, bicine, pH 8.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.7,54.43
5LTP,"VAPOR DIFFUSION, HANGING DROP",293,4.5,"6.8mM CYMAL-7, 14% PEG 20,000, 100mM Sodium Citrate Tribasic Dihydrate",1.92,35.9
5OX8,"VAPOR DIFFUSION, HANGING DROP",293,5,"100mM citric acid pH 5.0, 12% PEG8000, 100mM MgCl2",2.21,44.31
5OX9,"VAPOR DIFFUSION, HANGING DROP",293,4.5,"100mM citric acid pH4.5, 16% PEG8000, 100mM MgCl2",2.15,42.75
5WWK,"VAPOR DIFFUSION, SITTING DROP",293,8,"PEG 8000, HEPES pH 8.0, 100 mM Mgcl2",2.38,48.3
6AA2,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"50mM Tris-HCl(pH 7.5), 150mM NaCl, 250mM Trilithium Citrate, 14%(w/v) PEG 3350",2.99,58.89
6AA6,"VAPOR DIFFUSION, HANGING DROP",293,,"50mM Tris-HCl(pH7.0), 150mM NaCl, 20%(w/v) PEG3350",2.38,48.29
1OXD,"VAPOR DIFFUSION, HANGING DROP",298,7,"PEG 1000, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.15,42.92
1OXE,,,,,2.15,42.92
1OXF,"VAPOR DIFFUSION, HANGING DROP",298,7,"PEG 1000, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 25K",2.06,40.33
4W6J,"VAPOR DIFFUSION, HANGING DROP",298,4.5,"35% MPD, 0.1M Na Acetate pH 4.5",2.87,57.16
4W6T,"VAPOR DIFFUSION, HANGING DROP",298,,"0.15M Kbr, 30% PEG MME 2000",3.7,66.72
7A7W,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM NH4HCO2
20 % PEG 4000",1.99,38.05
2QLG,,,8.5,"200mM NaCl, 100mM Tris pH8.5, 30% PEG 3400",2.26,45.52
2QLH,,,8.5,"200mM NaCl, 100mM Tris pH8.5, 30% PEG 3400",2.23,44.76
2QLI,,,8.5,"200mM NaCl, 100mM Tris pH8.5, 30% PEG 3400",2.03,44.77
6L02,VAPOR DIFFUSION,289,6,"PEG 3350, sodium malonate",2.32,47.03
4JC2,"VAPOR DIFFUSION, HANGING DROP",293,7,"0.05M Potassium phosphate, 20% PEG 8000, pH 7, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.5,50.77
6MXW,VAPOR DIFFUSION,291.15,,"50 mM Tris pH 7.5, 0.15 M NaOAc, and 24% w/v polyethylene glycol 4,000",2.16,43.1
6MYB,"VAPOR DIFFUSION, SITTING DROP",291.15,,"50 mM Tris pH 7.5, 0.15 M NaOAc, and 24% w/v polyethylene glycol 4,000",2.17,43.33
6MYC,"VAPOR DIFFUSION, SITTING DROP",291.15,,"50 mM Tris pH 7.5, 0.15 M NaOAc, and 24% w/v polyethylene glycol 4,000",2.8,56.01
1BFP,,277,4.5,"PROTEIN WAS CRYSTALLIZED AT 4 DEGC FROM 100MM SODIUM ACETATE PH 4.5 AND 10-12% PEG3400., temperature 277K",2.11,41.7
1H6R,,,8,"100 MM HEPES, PH 8.0, 100 MM MGCL2, AND 14% PEG4000",2.5,49
1KYR,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, magnesium chloride, hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.89,40.76
1KYS,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, magnesium chloride, hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.86,39.97
2BTJ,,,8.5,pH 8.50,2.21,44.36
2GW3,"VAPOR DIFFUSION, SITTING DROP",298,8,"2M Li2SO4, 2mM NiCl2, 0.1M Tris, pH 8, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.53,51.38
2WSO,,,7,"15% PEG 8000, 0.1M MGCL2, 0.1 M HEPES PH 7.0",2,40
3DPW,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.06,40.16
3DPX,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",1.96,37.24
3DPZ,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.11,41.59
3DQ2,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.05,40.02
3DQ3,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.06,40.41
3DQ4,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.1,41.51
3DQ5,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.12,42.04
3DQ6,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",1.94,36.65
3DQ7,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",1.98,37.83
3DQ8,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.1,41.37
3DQ9,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.1,41.38
3DQA,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.13,42.31
3DQC,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.13,42.22
3DQD,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.09,41.23
3DQE,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.09,41.15
3DQF,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.06,40.22
3DQH,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.05,40.04
3DQI,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.12,41.95
3DQJ,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.11,41.69
3DQK,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.1,41.51
3DQL,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.11,41.64
3DQM,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.09,41.28
3DQN,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.09,41.25
3DQO,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.07,40.49
3DQU,"VAPOR DIFFUSION, HANGING DROP",277,5,"Crystals grown by seeding using a Seed Bead (HR2-320, Hampton Research) in 5% PEG 3350, 50 mM Na Acetate, 50 mM NH4 Acetate, pH 5.0. Crystals were grown at 4 deg C and at ambient pressure, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.1,41.53
3PJ5,"VAPOR DIFFUSION, HANGING DROP",293,5,"1.5 M ammonium sulfate, pH 5.0, 25% v/v glycerol, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.36,63.38
4HE4,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"0.16 M NaH2PO4 x 2H2O, 16% PEG 3350, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",2.28,45.99
4JFG,"VAPOR DIFFUSION, SITTING DROP",298,7.5,"15-20% polyethylene glycol (PEG) 3350, 0.13-0.18M CsCl, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 298.0K",2.59,52.47
4XOV,"VAPOR DIFFUSION, SITTING DROP",289,7.4,"0.15 M NaBr, 30% PEG 2000 MME",,27.24
4XOW,"VAPOR DIFFUSION, SITTING DROP",289,7.4,"0.1 M Tris pH 8.5, 25% PEG 3350",1.92,35.94
5J2O,"VAPOR DIFFUSION, SITTING DROP",291,7.5,"16% PEG 8000, 0.1M MGCL2, 0.1M HEPES PH 7.5",2.04,39.81
5O89,BATCH MODE,293,8,"2 M ammonium sulphate, 20 mM NaCl, 120 mM HEPES",2.06,40.21
5O8B,BATCH MODE,293,8,"2 M ammonium sulphate, 20 mM NaCl, 120 mM HEPES",2.07,40.51
5O8C,BATCH MODE,293,8,"2 M ammonium sulphate, 20 mM NaCl, 120 mM HEPES",2.07,40.51
6GP0,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"100 mM HEPES, 30 % PEG 1000",1.94,36.68
6T39,MICROBATCH,293,8,"100 mM HEPES pH 8.0, 2.5 M ammonium sulphate",2.04,39.67
6T3A,MICROBATCH,293,8,"100 mM HEPES pH 8.0, 2.5 M ammonium sulphate",2.04,39.67
4DXO,"VAPOR DIFFUSION, HANGING DROP",298,7.7,"0.07M tris, 0.2 M magnesium chloride, 16% PEG 4000, pH 7.7, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.11,41.73
4DXP,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"0.07M tris-HCl, 0.1M magnesium sulfate, 14% PEG 4000, 15% glycerol, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.16,43.14
4DXQ,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"0.085M tris, 0.085M sodium acetate, 16% PEG 4000, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.26,45.56
4W6F,"VAPOR DIFFUSION, HANGING DROP",298,8,"10% 2-propanol, 0.1M Imidazole pH 8.0, 5mM NiCl2",5.77,78.67
4W73,"VAPOR DIFFUSION, HANGING DROP",298,8,"20% PEG1000, 0.1M Imidazole pH8.0, 0.2M Ca(OAc)2",1.83,32.76
4W7E,"VAPOR DIFFUSION, HANGING DROP",298,8,"0.1M Imidazole pH 8.0, 10% PEG8000",3.09,60.18
